name	status	hash	task_id	native_id	exit	attempt	submit	start	complete	duration	realtime	queue	cpus	time	disk	memory	%cpu	%mem	rss	peak_rss	vmem	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt
Adapter_Trimmer_Quality_Module_FastQC (10)	CACHED	17/580256	26	874620	0	1	2025-04-23 16:42:18.338	2025-04-23 16:42:21.650	2025-04-23 16:49:16.714	6m 58s	6m 54s	short	1	1h 40m	-	10 GB	97.5%	0.1%	214.7 MB	214.7 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	10005738	11127	22.6 MB	5.2 MB	111	4264
Adapter_Trimmer_Quality_Module_FastQC (11)	CACHED	a4/f6d88a	31	874621	0	1	2025-04-23 16:42:18.396	2025-04-23 16:42:21.652	2025-04-23 16:49:21.699	7m 3s	6m 56s	short	1	1h 40m	-	10 GB	97.7%	0.1%	211.4 MB	211.4 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9984978	11295	22.6 MB	5.1 MB	123	4251
Adapter_Trimmer_Quality_Module_FastQC (12)	CACHED	82/28d29b	32	874622	0	1	2025-04-23 16:42:18.460	2025-04-23 16:42:21.654	2025-04-23 16:49:21.722	7m 3s	6m 59s	short	1	1h 40m	-	10 GB	97.8%	0.1%	226.3 MB	226.3 MB	2.6 GB	2.6 GB	4.8 GB	3.4 MB	9974391	11200	22.6 MB	5.8 MB	229	4252
STAR_Module_check_STAR_files	CACHED	18/0e1585	35	874638	0	1	2025-04-23 16:42:26.953	2025-04-23 16:42:31.733	2025-04-23 16:42:31.735	4.8s	23ms	short	1	1h 40m	-	10 GB	21.4%	0.0%	0	0	0	0	87.4 KB	237 B	177	12	467 KB	0	0	0
RSEM_module_check_RSEM_files	CACHED	24/714356	36	874637	0	1	2025-04-23 16:42:26.911	2025-04-23 16:42:31.691	2025-04-23 16:42:31.693	4.8s	23ms	short	1	4h	-	32 GB	40.8%	0.0%	0	0	0	0	87.5 KB	240 B	177	12	467 KB	0	0	0
Sequential_Mapping_Module_Check_Sequential_Mapping_Indexes	CACHED	b4/b80e33	38	874636	0	1	2025-04-23 16:42:26.853	2025-04-23 16:42:31.622	2025-04-23 16:42:31.624	4.8s	53ms	short	1	4h	-	32 GB	41.2%	0.0%	3.4 MB	3.4 MB	4.7 MB	4.7 MB	119.3 KB	239 B	252	12	467 KB	0	8	0
Sequential_Mapping_Module_Sequential_Mapping (2)	CACHED	22/667965	40	874743	0	1	2025-04-23 17:36:41.210	2025-04-23 17:36:44.311	2025-04-23 18:16:24.481	39m 43s	39m 39s	long	4	16h 40m	-	20 GB	136.6%	0.0%	44.8 MB	44.8 MB	358.3 MB	358.4 MB	46.1 GB	45.7 GB	1232145	3120578	5.8 MB	45.7 GB	385	24243
Sequential_Mapping_Module_Sequential_Mapping (1)	CACHED	82/378836	39	874744	0	1	2025-04-23 17:36:41.323	2025-04-23 17:36:44.383	2025-04-23 18:10:34.469	33m 53s	33m 48s	long	4	16h 40m	-	20 GB	140.9%	0.0%	43 MB	43 MB	358.3 MB	358.4 MB	46.1 GB	45.8 GB	1233751	3124357	5.8 MB	45.7 GB	400	29514
Sequential_Mapping_Module_Sequential_Mapping_Summary (12)	CACHED	79/f578eb	47	874931	0	1	2025-04-23 18:16:24.749	2025-04-23 18:16:29.484	2025-04-23 18:16:29.487	4.7s	78ms	short	1	4h	-	32 GB	54.9%	0.0%	4.1 MB	4.1 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	29	1105
Sequential_Mapping_Module_Sequential_Mapping_Summary (5)	CACHED	b6/3348e3	50	874877	0	1	2025-04-23 18:10:34.598	2025-04-23 18:10:39.535	2025-04-23 18:10:39.538	4.9s	84ms	short	1	4h	-	32 GB	51.0%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	14	1105
STAR_Module_Map_STAR (12)	CACHED	82/6629af	43	874930	0	1	2025-04-23 18:16:24.701	2025-04-23 18:16:29.482	2025-04-23 18:27:19.502	10m 55s	10m 51s	short	10	1h 40m	-	50 GB	536.0%	7.3%	27.3 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.7 GB	2352816	757571	3.7 MB	25.7 GB	259324	5652
Sequential_Mapping_Module_Sequential_Mapping (4)	CACHED	48/bf1abe	51	874746	0	1	2025-04-23 17:36:41.714	2025-04-23 17:36:44.389	2025-04-23 18:10:24.469	33m 43s	33m 39s	long	4	16h 40m	-	20 GB	140.3%	0.0%	45 MB	45 MB	358.3 MB	358.4 MB	46.1 GB	45.8 GB	1233351	3123833	5.8 MB	45.8 GB	614	79527
STAR_Module_Map_STAR (5)	CACHED	45/2f6ad6	48	874878	0	1	2025-04-23 18:10:34.658	2025-04-23 18:10:39.548	2025-04-23 18:20:04.487	9m 30s	9m 24s	short	10	1h 40m	-	50 GB	522.7%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.7 GB	2354053	756477	3.7 MB	25.7 GB	244937	7413
STAR_Module_Map_STAR (3)	CACHED	68/3dade3	60	874872	0	1	2025-04-23 18:10:24.702	2025-04-23 18:10:29.549	2025-04-23 18:19:49.486	9m 25s	9m 21s	short	10	1h 40m	-	50 GB	531.1%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2357802	755288	3.7 MB	25.8 GB	248532	7124
Sequential_Mapping_Module_Sequential_Mapping (3)	CACHED	14/7bc0c5	41	874745	0	1	2025-04-23 17:36:41.624	2025-04-23 17:36:44.386	2025-04-23 18:10:29.469	33m 48s	33m 45s	long	4	16h 40m	-	20 GB	140.7%	0.0%	36.9 MB	37 MB	358.3 MB	358.4 MB	46.1 GB	45.8 GB	1230085	3123290	5.8 MB	45.8 GB	564	38818
STAR_Module_Map_STAR (4)	CACHED	24/d1ba54	63	874875	0	1	2025-04-23 18:10:29.647	2025-04-23 18:10:34.528	2025-04-23 18:20:09.487	9m 40s	9m 34s	short	10	1h 40m	-	50 GB	527.5%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2361059	751816	3.7 MB	25.8 GB	261334	4233
Sequential_Mapping_Module_Sequential_Mapping_Summary (4)	CACHED	72/bca898	67	874876	0	1	2025-04-23 18:10:29.704	2025-04-23 18:10:34.531	2025-04-23 18:10:34.533	4.8s	82ms	short	1	4h	-	32 GB	62.2%	0.0%	4.1 MB	4.1 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	22	1105
Sequential_Mapping_Module_Sequential_Mapping_Summary (3)	CACHED	fa/de6c10	61	874871	0	1	2025-04-23 18:10:24.634	2025-04-23 18:10:29.532	2025-04-23 18:10:29.537	4.9s	82ms	short	1	4h	-	32 GB	52.1%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	26	1106
Sequential_Mapping_Module_Sequential_Mapping (6)	CACHED	85/1a97f7	62	874643	0	1	2025-04-23 16:42:32.023	2025-04-23 16:42:36.642	2025-04-23 17:15:06.736	32m 35s	32m 31s	long	4	16h 40m	-	20 GB	134.4%	0.0%	42.8 MB	42.8 MB	358.3 MB	358.4 MB	46.1 GB	45.7 GB	1225919	3114189	5.8 MB	45.7 GB	431	29533
Sequential_Mapping_Module_Sequential_Mapping (5)	CACHED	f3/e61e44	55	874747	0	1	2025-04-23 17:36:41.789	2025-04-23 17:36:44.391	2025-04-23 18:10:39.470	33m 58s	33m 51s	long	4	16h 40m	-	20 GB	140.2%	0.0%	44.8 MB	44.9 MB	358.3 MB	358.4 MB	46.4 GB	46 GB	1235273	3138200	5.8 MB	46 GB	353	63396
STAR_Module_Map_STAR (1)	CACHED	f7/538234	74	874754	0	1	2025-04-23 17:36:42.184	2025-04-23 17:36:49.317	2025-04-23 17:48:19.392	11m 37s	11m 32s	short	10	1h 40m	-	50 GB	503.8%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2355598	750030	3.7 MB	25.8 GB	265178	8724
Sequential_Mapping_Module_Sequential_Mapping_Summary (1)	CACHED	15/e7abea	75	874687	0	1	2025-04-23 17:15:07.230	2025-04-23 17:15:11.763	2025-04-23 17:15:11.764	4.5s	70ms	short	1	4h	-	32 GB	49.5%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98.1 KB	1.1 KB	235	23	1.4 MB	8 KB	33	1105
Sequential_Mapping_Module_Sequential_Mapping_Summary (6)	CACHED	95/2999b5	82	874882	0	1	2025-04-23 18:10:39.680	2025-04-23 18:10:44.541	2025-04-23 18:10:44.542	4.9s	83ms	short	1	4h	-	32 GB	51.7%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	14	1105
STAR_Module_Map_STAR (6)	CACHED	5d/d00e1a	77	874881	0	1	2025-04-23 18:10:39.635	2025-04-23 18:10:44.539	2025-04-23 18:20:19.486	9m 40s	9m 36s	short	10	1h 40m	-	50 GB	526.9%	7.3%	27.3 GB	27.4 GB	27.8 GB	27.8 GB	50.3 GB	26 GB	2373885	755733	3.7 MB	26 GB	257278	7299
Sequential_Mapping_Module_Sequential_Mapping (7)	CACHED	7f/e0373c	68	874748	0	1	2025-04-23 17:36:41.836	2025-04-23 17:36:44.393	2025-04-23 18:10:44.470	34m 3s	34m	long	4	16h 40m	-	20 GB	139.6%	0.0%	49 MB	49 MB	358.3 MB	358.4 MB	46.1 GB	45.8 GB	1229390	3123788	5.8 MB	45.8 GB	3532	644163
Sequential_Mapping_Module_Sequential_Mapping_Summary (7)	CACHED	e0/d7c9c1	89	874884	0	1	2025-04-23 18:10:44.645	2025-04-23 18:10:49.493	2025-04-23 18:10:49.496	4.9s	81ms	short	1	4h	-	32 GB	52.6%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	25	1105
STAR_Module_Map_STAR (7)	CACHED	79/aff006	88	874883	0	1	2025-04-23 18:10:44.586	2025-04-23 18:10:49.489	2025-04-23 18:20:24.487	9m 40s	9m 34s	short	10	1h 40m	-	50 GB	526.3%	7.3%	27.3 GB	27.3 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2360595	751676	3.7 MB	25.8 GB	253014	9009
Sequential_Mapping_Module_Sequential_Mapping (8)	CACHED	63/c4dea4	76	874749	0	1	2025-04-23 17:36:41.882	2025-04-23 17:36:44.395	2025-04-23 18:15:54.481	39m 13s	39m 7s	long	4	16h 40m	-	20 GB	135.8%	0.0%	37.2 MB	37.2 MB	358.3 MB	358.4 MB	46.3 GB	45.9 GB	1232652	3131839	5.8 MB	45.9 GB	345	5589
Sequential_Mapping_Module_Sequential_Mapping (9)	CACHED	40/01610f	83	874750	0	1	2025-04-23 17:36:41.936	2025-04-23 17:36:44.397	2025-04-23 18:15:29.481	38m 48s	38m 44s	long	4	16h 40m	-	20 GB	135.5%	0.0%	44.9 MB	44.9 MB	358.3 MB	358.4 MB	46.1 GB	45.7 GB	1230985	3120094	5.8 MB	45.7 GB	455	24601
STAR_Module_Map_STAR (10)	CACHED	b3/e4a994	91	874922	0	1	2025-04-23 18:15:54.590	2025-04-23 18:15:59.482	2025-04-23 18:26:54.501	11m	10m 55s	short	10	1h 40m	-	50 GB	507.1%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.2 GB	25.9 GB	2366513	757280	3.7 MB	25.9 GB	276105	4934
Sequential_Mapping_Module_Sequential_Mapping_Summary (10)	CACHED	85/947ab5	96	874923	0	1	2025-04-23 18:15:54.638	2025-04-23 18:15:59.485	2025-04-23 18:15:59.486	4.8s	78ms	short	1	4h	-	32 GB	53.6%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	28	1105
Sequential_Mapping_Module_Sequential_Mapping_Summary (9)	CACHED	56/a74240	102	874919	0	1	2025-04-23 18:15:29.777	2025-04-23 18:15:34.485	2025-04-23 18:15:34.486	4.7s	469ms	short	1	4h	-	32 GB	10.2%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98.1 KB	1.1 KB	235	23	1.4 MB	8 KB	50	1105
STAR_Module_Map_STAR (9)	CACHED	c3/b74c88	104	874917	0	1	2025-04-23 18:15:29.605	2025-04-23 18:15:34.481	2025-04-23 18:26:04.510	10m 35s	10m 30s	short	10	1h 40m	-	50 GB	500.5%	7.3%	27.3 GB	27.4 GB	27.8 GB	27.8 GB	50 GB	25.6 GB	2352673	755004	3.7 MB	25.6 GB	258460	5713
Sequential_Mapping_Module_Sequential_Mapping (10)	CACHED	e5/96d7a0	90	874751	0	1	2025-04-23 17:36:42.019	2025-04-23 17:36:44.400	2025-04-23 18:15:19.481	38m 37s	38m 35s	long	4	16h 40m	-	20 GB	135.8%	0.0%	41.2 MB	41.2 MB	358.3 MB	358.4 MB	46.3 GB	45.9 GB	1235613	3129925	5.8 MB	45.9 GB	522	7346
STAR_Module_Map_STAR (8)	CACHED	b1/a1621b	105	874916	0	1	2025-04-23 18:15:19.770	2025-04-23 18:15:24.500	2025-04-23 18:25:49.500	10m 30s	10m 23s	short	10	1h 40m	-	50 GB	487.2%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2362404	754337	3.7 MB	25.8 GB	259570	4038
Sequential_Mapping_Module_Sequential_Mapping_Summary (8)	CACHED	5c/23a20a	110	874914	0	1	2025-04-23 18:15:19.626	2025-04-23 18:15:24.481	2025-04-23 18:15:24.483	4.9s	76ms	short	1	4h	-	32 GB	56.0%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	29	1105
Sequential_Mapping_Module_Sequential_Mapping (11)	CACHED	21/6c994a	97	874752	0	1	2025-04-23 17:36:42.092	2025-04-23 17:36:49.312	2025-04-23 18:16:14.482	39m 32s	39m 29s	long	4	16h 40m	-	20 GB	135.4%	0.0%	44.9 MB	44.9 MB	358.3 MB	358.4 MB	46.3 GB	45.9 GB	1238173	3136467	5.8 MB	45.9 GB	463	8893
STAR_Module_Map_STAR (11)	CACHED	38/2c9484	115	874928	0	1	2025-04-23 18:16:14.693	2025-04-23 18:16:19.496	2025-04-23 18:26:14.500	10m	9m 55s	short	10	1h 40m	-	50 GB	510.5%	7.3%	27.3 GB	27.3 GB	27.8 GB	27.8 GB	50.2 GB	25.8 GB	2363494	760743	3.7 MB	25.8 GB	264467	9121
Sequential_Mapping_Module_Sequential_Mapping_Summary (11)	CACHED	48/38413d	116	874927	0	1	2025-04-23 18:16:14.652	2025-04-23 18:16:19.484	2025-04-23 18:16:19.485	4.8s	75ms	short	1	4h	-	32 GB	55.7%	0.0%	4.2 MB	4.2 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	28	1105
Sequential_Mapping_Module_Sequential_Mapping (12)	CACHED	48/78d239	103	874753	0	1	2025-04-23 17:36:42.135	2025-04-23 17:36:49.314	2025-04-23 18:09:19.467	32m 37s	32m 33s	long	4	16h 40m	-	20 GB	135.6%	0.0%	21.4 MB	21.4 MB	358.3 MB	358.4 MB	46.2 GB	45.8 GB	1229508	3123308	5.8 MB	45.8 GB	1613	8276
STAR_Module_Map_STAR (2)	CACHED	54/13ba78	117	874869	0	1	2025-04-23 18:09:19.732	2025-04-23 18:09:24.484	2025-04-23 18:19:19.486	10m	9m 53s	short	10	1h 40m	-	50 GB	508.1%	7.3%	27.4 GB	27.4 GB	27.8 GB	27.8 GB	50.1 GB	25.8 GB	2363005	751690	3.7 MB	25.8 GB	261143	4244
Sequential_Mapping_Module_Sequential_Mapping_Summary (2)	CACHED	e7/637603	122	874868	0	1	2025-04-23 18:09:19.660	2025-04-23 18:09:24.469	2025-04-23 18:09:24.470	4.8s	82ms	short	1	4h	-	32 GB	52.4%	0.0%	4.1 MB	4.1 MB	17.6 MB	17.6 MB	98 KB	1.1 KB	235	23	1.4 MB	8 KB	14	1107
STAR_Module_STAR_Summary (4)	CACHED	40/d5028c	125	875044	0	1	2025-04-23 18:27:19.939	2025-04-23 18:27:29.525	2025-04-23 18:27:29.527	9.6s	230ms	short	1	4h	-	32 GB	49.5%	0.0%	4.9 MB	4.9 MB	17.9 MB	17.9 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	53	1365
Sequential_Mapping_Module_Merge_TSV_Files	CACHED	7d/a1a192	127	874933	0	1	2025-04-23 18:16:29.559	2025-04-23 18:16:34.497	2025-04-23 18:16:34.499	4.9s	58ms	short	1	4h	-	32 GB	27.6%	0.0%	5.9 MB	5.9 MB	30.9 MB	30.9 MB	61.8 KB	879 B	151	13	187 KB	4 KB	46	0
STAR_Module_STAR_Summary (12)	CACHED	65/ceb587	124	875068	0	1	2025-04-23 18:27:21.150	2025-04-23 18:27:29.578	2025-04-23 18:27:29.580	8.4s	184ms	short	1	4h	-	32 GB	65.2%	0.0%	6 MB	6 MB	19.1 MB	19.1 MB	616.4 KB	6.5 KB	335	23	2.3 MB	8 KB	35	1506
STAR_Module_STAR_Summary (3)	CACHED	97/e4d213	126	875043	0	1	2025-04-23 18:27:19.898	2025-04-23 18:27:29.514	2025-04-23 18:27:29.516	9.6s	168ms	short	1	4h	-	32 GB	60.2%	0.0%	4.9 MB	4.9 MB	17.9 MB	17.9 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	39	1354
Sequential_Mapping_Module_Sequential_Mapping_Short_Summary	CACHED	2b/c8e489	129	874937	0	1	2025-04-23 18:16:34.596	2025-04-23 18:16:39.509	2025-04-23 18:16:39.511	4.9s	183ms	short	1	4h	-	32 GB	56.6%	0.0%	4 MB	4 MB	17.6 MB	17.6 MB	573 KB	1.1 KB	228	15	2.3 MB	8 KB	82	1239
STAR_Module_STAR_Summary (5)	CACHED	66/dee7b4	128	875050	0	1	2025-04-23 18:27:20.232	2025-04-23 18:27:24.525	2025-04-23 18:27:29.553	9.3s	718ms	short	1	4h	-	32 GB	18.5%	0.0%	3 MB	3 MB	17.4 MB	17.4 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	24	1109
STAR_Module_STAR_Summary (6)	CACHED	3a/1a774d	131	875048	0	1	2025-04-23 18:27:20.151	2025-04-23 18:27:29.538	2025-04-23 18:27:29.540	9.4s	163ms	short	1	4h	-	32 GB	68.5%	0.0%	4.9 MB	4.9 MB	17.9 MB	17.9 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	42	1354
STAR_Module_STAR_Summary (1)	CACHED	36/2ddec6	130	875040	0	1	2025-04-23 18:27:19.712	2025-04-23 18:27:24.502	2025-04-23 18:27:24.504	4.8s	203ms	short	1	4h	-	32 GB	68.0%	0.0%	6.1 MB	6.1 MB	19.2 MB	19.2 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	37	1506
Sequential_Mapping_Module_Sequential_Mapping_Bam_count	CACHED	88/aa313a	123	874932	0	1	2025-04-23 18:16:24.831	2025-04-23 18:16:29.500	2025-04-23 18:16:39.483	14.7s	7.7s	short	1	4h	-	32 GB	70.0%	0.0%	17.1 MB	17.1 MB	45 MB	45 MB	114.4 MB	2.4 KB	7613	26	3.7 MB	28 KB	1354	3523
STAR_Module_STAR_Summary (7)	CACHED	8e/8d9181	132	875053	0	1	2025-04-23 18:27:20.372	2025-04-23 18:27:24.530	2025-04-23 18:27:24.532	4.2s	697ms	short	1	4h	-	32 GB	13.5%	0.0%	3.1 MB	3.1 MB	17.4 MB	17.4 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	49	1151
STAR_Module_STAR_Summary (11)	CACHED	91/b2ed4e	133	875066	0	1	2025-04-23 18:27:21.016	2025-04-23 18:27:24.606	2025-04-23 18:27:24.608	3.6s	702ms	short	1	4h	-	32 GB	16.2%	0.0%	2.9 MB	2.9 MB	17.4 MB	17.4 MB	616.4 KB	6.5 KB	335	23	2.3 MB	8 KB	58	1108
STAR_Module_STAR_Summary (9)	CACHED	bd/3579c6	134	875058	0	1	2025-04-23 18:27:20.658	2025-04-23 18:27:24.580	2025-04-23 18:27:24.581	3.9s	707ms	short	1	4h	-	32 GB	16.1%	0.0%	2.9 MB	2.9 MB	17.4 MB	17.4 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	64	1108
STAR_Module_STAR_Summary (8)	CACHED	6f/e7f2e5	135	875057	0	1	2025-04-23 18:27:20.599	2025-04-23 18:27:24.544	2025-04-23 18:27:24.571	4s	701ms	short	1	4h	-	32 GB	16.1%	0.0%	3.9 MB	3.9 MB	17.4 MB	17.4 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	36	1155
STAR_Module_STAR_Summary (2)	CACHED	81/e8e034	140	875042	0	1	2025-04-23 18:27:19.839	2025-04-23 18:27:29.501	2025-04-23 18:27:29.505	9.7s	171ms	short	1	4h	-	32 GB	70.3%	0.0%	4.9 MB	4.9 MB	17.9 MB	17.9 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	29	1358
STAR_Module_STAR_Summary (10)	CACHED	0d/df1647	136	875063	0	1	2025-04-23 18:27:20.884	2025-04-23 18:27:24.596	2025-04-23 18:27:29.565	8.7s	168ms	short	1	4h	-	32 GB	71.6%	0.0%	4.9 MB	4.9 MB	17.9 MB	17.9 MB	616.3 KB	6.5 KB	335	23	2.3 MB	8 KB	39	1355
STAR_Module_Merge_Bam_and_create_sense_antisense (12)	CACHED	42/1d2152	137	875071	0	1	2025-04-23 18:27:21.269	2025-04-23 18:27:29.595	2025-04-23 18:42:54.669	15m 33s	15m 27s	short	1	1h 40m	-	10 GB	98.4%	0.2%	847.7 MB	847.7 MB	956.2 MB	1001.5 MB	14.6 GB	9 GB	1038184	662922	2 MB	9 GB	144	10820
STAR_Module_Merge_Bam_and_create_sense_antisense (4)	CACHED	41/7ef958	138	875049	0	1	2025-04-23 18:27:20.191	2025-04-23 18:27:29.550	2025-04-23 18:45:14.924	17m 55s	17m 47s	short	1	1h 40m	-	10 GB	98.4%	0.2%	847.5 MB	847.5 MB	940.8 MB	1001.5 MB	14.6 GB	9 GB	1037586	662598	2 MB	9 GB	152	12164
STAR_Module_merge_tsv_files_with_same_header	CACHED	27/146b42	143	875078	0	1	2025-04-23 18:27:29.660	2025-04-23 18:27:34.512	2025-04-23 18:27:34.514	4.9s	68ms	short	1	4h	-	32 GB	12.3%	0.0%	6 MB	6 MB	30.9 MB	30.9 MB	61.5 KB	736 B	151	13	187 KB	4 KB	51	0
STAR_Module_Merge_Bam_and_create_sense_antisense (3)	CACHED	e6/26b41e	139	875046	0	1	2025-04-23 18:27:20.068	2025-04-23 18:27:24.521	2025-04-23 18:47:10.610	19m 51s	19m 44s	short	1	1h 40m	-	10 GB	98.1%	0.2%	847.5 MB	847.5 MB	956.2 MB	1001.5 MB	14.7 GB	9.1 GB	1041966	666151	2 MB	9.1 GB	133	12568
STAR_Module_merge_transcriptome_bam (12)	CACHED	eb/483158	146	875074	0	1	2025-04-23 18:27:21.407	2025-04-23 18:27:24.623	2025-04-23 19:04:45.336	37m 24s	37m 17s	short	1	4h	-	32 GB	98.0%	0.2%	912.7 MB	912.7 MB	1007.8 MB	1012.3 MB	21.5 GB	16 GB	1520494	1152115	2 MB	16 GB	11328	21759
